Order_ID,Region,Segment,Category,Sub_Category,Year,Month,Quantity,Unit_Cost,Unit_Price,Discount,Sales,Profit,Date
29,Sud,Corporate,Furniture,Tables,2025,8,6,154.48,189.43,0.1,1136.55,209.67,2025-08-01
30,Est,Consommateur,Furniture,Chairs,2023,11,3,386.95,508.88,0.0,1526.64,365.79,2023-11-01
31,Est,Consommateur,Office Supplies,Storage,2022,4,9,315.68,413.31,0.0,3719.76,878.64,2022-04-01
32,Nord,Entreprise,Technology,Phones,2022,4,9,262.52,289.83,0.2,2608.43,245.75,2022-04-01
33,Nord,Entreprise,Office Supplies,Storage,2022,9,1,485.06,595.7,0.05,595.7,110.64,2022-09-01
34,Centre,Corporate,Office Supplies,Storage,2023,4,5,413.41,536.19,0.0,2680.94,613.89,2023-04-01
35,Centre,Entreprise,Office Supplies,Paper,2024,10,9,182.68,243.52,0.0,2191.65,547.53,2024-10-01
36,Centre,Consommateur,Technology,Phones,2022,2,7,91.28,115.88,0.0,811.17,172.21,2022-02-01
37,Nord,Entreprise,Technology,Phones,2023,5,5,458.58,504.59,0.2,2522.93,230.03,2023-05-01
38,Est,Consommateur,Technology,Accessories,2025,1,6,259.17,306.61,0.1,1839.66,284.64,2025-01-01
39,Est,Corporate,Office Supplies,Binders,2023,8,9,463.42,523.76,0.15,4713.81,543.03,2023-08-01
40,Sud,Corporate,Furniture,Tables,2025,7,2,199.94,270.06,0.0,540.12,140.24,2025-07-01
41,Centre,Corporate,Technology,Accessories,2023,8,6,337.8,366.08,0.2,2196.49,169.69,2023-08-01
42,Sud,Corporate,Furniture,Tables,2024,9,5,389.48,450.02,0.15,2250.11,302.71,2024-09-01
43,Centre,Entreprise,Office Supplies,Binders,2024,8,1,470.14,566.0,0.1,566.0,95.86,2024-08-01
44,Centre,Consommateur,Technology,Accessories,2022,10,2,183.27,205.96,0.2,411.92,45.38,2022-10-01
45,Centre,Consommateur,Technology,Phones,2023,12,2,256.58,277.78,0.2,555.56,42.4,2023-12-01
46,Centre,Entreprise,Office Supplies,Paper,2024,9,3,231.26,263.78,0.15,791.34,97.56,2024-09-01
47,Centre,Corporate,Technology,Phones,2024,6,8,366.92,425.18,0.15,3401.46,466.1,2024-06-01
48,Centre,Entreprise,Office Supplies,Paper,2025,5,3,220.83,268.96,0.1,806.87,144.38,2025-05-01
49,Sud,Consommateur,Technology,Accessories,2024,1,7,56.83,71.05,0.0,497.36,99.55,2024-01-01
50,Est,Entreprise,Furniture,Tables,2022,5,2,402.37,439.18,0.2,878.36,73.62,2022-05-01
51,Nord,Entreprise,Technology,Copiers,2024,2,9,187.39,214.22,0.2,1927.97,241.46,2024-02-01
52,Centre,Corporate,Furniture,Chairs,2023,7,6,393.1,468.3,0.1,2809.82,451.22,2023-07-01
53,Sud,Entreprise,Office Supplies,Binders,2022,12,4,398.5,470.18,0.1,1880.72,286.72,2022-12-01
54,Centre,Entreprise,Office Supplies,Storage,2023,9,2,311.02,391.54,0.05,783.08,161.04,2023-09-01
55,Centre,Consommateur,Furniture,Chairs,2023,8,2,332.15,414.54,0.05,829.07,164.77,2023-08-01
56,Est,Corporate,Office Supplies,Storage,2024,3,3,296.83,384.74,0.0,1154.21,263.72,2024-03-01
57,Centre,Consommateur,Office Supplies,Storage,2025,2,1,395.24,454.83,0.15,454.83,59.59,2025-02-01
58,Nord,Corporate,Furniture,Bookcases,2022,6,1,248.25,293.15,0.1,293.15,44.9,2022-06-01
59,Sud,Consommateur,Office Supplies,Storage,2022,7,7,39.41,53.4,0.1,373.82,97.95,2022-07-01
60,Sud,Consommateur,Furniture,Chairs,2024,1,9,303.26,398.39,0.0,3585.53,856.19,2024-01-01
61,Sud,Corporate,Technology,Accessories,2025,6,2,27.82,40.34,0.0,80.68,25.04,2025-06-01
62,Est,Consommateur,Furniture,Chairs,2025,5,4,252.04,310.31,0.1,1241.25,233.09,2025-05-01
63,Centre,Corporate,Technology,Accessories,2025,12,8,120.62,137.34,0.1,1098.75,133.79,2025-12-01
64,Est,Corporate,Technology,Copiers,2024,6,1,426.46,518.02,0.1,518.02,91.56,2024-06-01
65,Est,Consommateur,Furniture,Tables,2024,4,5,492.33,577.8,0.1,2889.0,427.35,2024-04-01
66,Est,Corporate,Technology,Phones,2025,11,4,229.42,285.2,0.05,1140.81,223.13,2025-11-01
67,Centre,Consommateur,Technology,Phones,2024,1,6,113.8,122.7,0.2,736.18,53.38,2024-01-01
68,Sud,Consommateur,Technology,Copiers,2024,1,8,261.42,319.38,0.05,2555.03,463.67,2024-01-01
69,Sud,Consommateur,Technology,Phones,2022,6,3,232.41,289.78,0.05,869.34,172.11,2022-06-01
70,Sud,Corporate,Furniture,Bookcases,2024,2,3,373.02,467.67,0.05,1403.01,283.95,2024-02-01
71,Sud,Entreprise,Technology,Phones,2023,10,7,212.77,239.79,0.15,1678.52,189.13,2023-10-01
72,Est,Consommateur,Technology,Phones,2025,5,7,161.33,194.01,0.1,1358.06,228.75,2025-05-01
73,Sud,Entreprise,Furniture,Bookcases,2025,12,5,294.16,386.15,0.0,1930.76,459.96,2025-12-01
74,Est,Entreprise,Office Supplies,Storage,2023,10,7,83.9,106.35,0.15,744.43,157.13,2023-10-01
75,Centre,Consommateur,Office Supplies,Binders,2024,3,6,236.96,292.99,0.05,1757.92,336.16,2024-03-01
76,Est,Entreprise,Technology,Accessories,2022,6,8,375.33,404.0,0.2,3232.01,229.37,2022-06-01
77,Centre,Corporate,Office Supplies,Binders,2023,8,4,62.14,78.93,0.05,315.74,67.18,2023-08-01
78,Nord,Corporate,Technology,Accessories,2023,9,3,464.19,596.62,0.0,1789.85,397.28,2023-09-01
79,Centre,Consommateur,Furniture,Tables,2024,6,7,195.12,254.29,0.0,1780.03,414.19,2024-06-01
80,Centre,Entreprise,Office Supplies,Storage,2024,11,9,388.02,443.77,0.15,3993.89,501.71,2024-11-01
81,Nord,Consommateur,Technology,Phones,2024,5,3,209.96,262.12,0.05,786.35,156.47,2024-05-01
82,Sud,Entreprise,Technology,Copiers,2023,4,9,203.41,264.91,0.0,2384.18,553.49,2023-04-01
83,Centre,Corporate,Furniture,Chairs,2023,2,3,189.31,217.54,0.15,652.63,84.7,2023-02-01
84,Centre,Corporate,Furniture,Bookcases,2025,11,9,209.95,243.03,0.15,2187.27,297.72,2025-11-01
85,Sud,Corporate,Technology,Copiers,2023,12,7,396.27,449.99,0.15,3149.94,376.05,2023-12-01
86,Centre,Entreprise,Office Supplies,Binders,2022,6,1,186.09,203.21,0.2,203.21,17.12,2022-06-01
87,Sud,Consommateur,Office Supplies,Storage,2022,4,5,329.0,398.25,0.1,1991.26,346.26,2022-04-01
88,Est,Entreprise,Furniture,Chairs,2024,8,3,153.48,172.47,0.15,517.41,56.97,2024-08-01
89,Centre,Entreprise,Technology,Accessories,2024,7,5,215.85,268.28,0.05,1341.4,262.15,2024-07-01
90,Est,Consommateur,Office Supplies,Binders,2022,6,3,351.82,420.97,0.1,1262.91,207.45,2022-06-01
91,Est,Corporate,Furniture,Tables,2025,10,5,251.51,299.96,0.1,1499.79,242.24,2025-10-01
92,Nord,Corporate,Furniture,Bookcases,2025,12,3,82.84,99.43,0.15,298.29,49.77,2025-12-01
93,Sud,Corporate,Furniture,Chairs,2024,12,6,60.57,74.34,0.2,446.06,82.64,2024-12-01
94,Est,Consommateur,Office Supplies,Binders,2023,1,4,174.49,222.88,0.0,891.51,193.55,2023-01-01
95,Sud,Entreprise,Office Supplies,Storage,2022,8,9,337.59,389.7,0.15,3507.3,468.99,2022-08-01
96,Centre,Consommateur,Office Supplies,Paper,2024,9,8,340.93,390.09,0.15,3120.72,393.28,2024-09-01
97,Sud,Corporate,Office Supplies,Storage,2024,11,9,488.44,587.21,0.1,5284.93,888.97,2024-11-01
98,Est,Entreprise,Office Supplies,Storage,2022,10,8,110.17,120.73,0.2,965.8,84.44,2022-10-01
99,Sud,Corporate,Furniture,Bookcases,2023,9,1,229.99,280.37,0.1,280.37,50.38,2023-09-01
100,Sud,Corporate,Furniture,Tables,2024,7,2,294.43,347.44,0.1,694.87,106.01,2024-07-01
101,Est,Consommateur,Furniture,Chairs,2023,10,7,125.36,143.88,0.1,1007.18,129.66,2023-10-01
102,Centre,Entreprise,Technology,Accessories,2024,4,3,286.55,353.44,0.05,1060.33,200.68,2024-04-01
103,Centre,Consommateur,Technology,Phones,2022,10,6,192.43,233.76,0.15,1402.57,247.99,2022-10-01
104,Centre,Consommateur,Office Supplies,Storage,2022,11,9,370.07,399.49,0.2,3595.42,264.79,2022-11-01
105,Sud,Consommateur,Furniture,Chairs,2022,11,9,467.66,514.24,0.2,4628.12,419.18,2022-11-01
106,Centre,Entreprise,Office Supplies,Storage,2023,6,1,454.9,596.34,0.0,596.34,141.44,2023-06-01
107,Est,Entreprise,Office Supplies,Storage,2025,8,9,279.51,305.49,0.2,2749.41,233.82,2025-08-01
108,Centre,Consommateur,Office Supplies,Binders,2024,7,7,166.99,195.09,0.15,1365.61,196.68,2024-07-01
109,Est,Consommateur,Furniture,Bookcases,2024,10,4,399.17,455.05,0.15,1820.21,223.53,2024-10-01
110,Sud,Corporate,Office Supplies,Binders,2023,5,2,124.21,150.15,0.1,300.3,51.88,2023-05-01
111,Est,Corporate,Office Supplies,Paper,2022,12,2,463.12,503.61,0.2,1007.22,80.98,2022-12-01
112,Est,Consommateur,Furniture,Chairs,2022,3,8,224.06,263.81,0.15,2110.46,317.98,2022-03-01
113,Nord,Consommateur,Office Supplies,Binders,2023,12,3,51.14,63.54,0.15,190.62,37.2,2023-12-01
114,Centre,Consommateur,Office Supplies,Binders,2022,12,6,316.76,374.58,0.1,2247.47,346.91,2022-12-01
115,Est,Corporate,Office Supplies,Binders,2025,6,5,143.08,165.66,0.05,828.3,112.9,2025-06-01
116,Est,Entreprise,Office Supplies,Paper,2025,7,1,483.97,572.62,0.1,572.62,88.65,2025-07-01
117,Centre,Corporate,Technology,Phones,2024,11,1,429.24,471.57,0.2,471.57,42.33,2024-11-01
118,Sud,Corporate,Furniture,Chairs,2022,12,6,307.3,398.02,0.0,2388.1,544.3,2022-12-01
119,Est,Corporate,Furniture,Tables,2023,5,1,441.94,521.97,0.15,521.97,80.03,2023-05-01
120,Nord,Entreprise,Office Supplies,Storage,2025,6,1,433.81,539.9,0.05,539.9,106.09,2025-06-01
121,Est,Consommateur,Furniture,Chairs,2025,6,9,21.18,35.31,0.0,317.76,127.14,2025-06-01
122,Centre,Corporate,Furniture,Chairs,2025,2,1,187.15,233.4,0.05,233.4,46.25,2025-02-01
123,Centre,Entreprise,Furniture,Tables,2024,12,3,399.78,474.24,0.1,1422.72,223.38,2024-12-01
124,Centre,Entreprise,Office Supplies,Binders,2025,7,1,20.57,24.53,0.1,24.53,3.96,2025-07-01
125,Sud,Consommateur,Technology,Accessories,2025,10,9,432.82,490.98,0.15,4418.85,523.47,2025-10-01
126,Sud,Consommateur,Furniture,Bookcases,2023,10,5,183.79,233.91,0.05,1169.53,250.58,2023-10-01
127,Nord,Corporate,Furniture,Bookcases,2025,8,3,473.22,566.38,0.1,1699.14,279.48,2025-08-01
128,Sud,Corporate,Technology,Accessories,2024,10,2,82.53,95.37,0.2,190.73,25.67,2024-10-01
129,Sud,Corporate,Furniture,Bookcases,2022,7,8,73.94,90.22,0.1,721.78,130.26,2022-07-01
130,Centre,Entreprise,Office Supplies,Binders,2024,6,3,153.24,172.06,0.15,516.17,56.45,2024-06-01
131,Nord,Entreprise,Furniture,Bookcases,2022,10,5,467.04,547.3,0.15,2736.52,401.32,2022-10-01
132,Nord,Consommateur,Office Supplies,Paper,2025,6,4,332.44,429.95,0.0,1719.81,390.05,2025-06-01
133,Est,Corporate,Technology,Phones,2023,6,4,59.17,74.24,0.05,296.96,60.28,2023-06-01
134,Est,Entreprise,Furniture,Bookcases,2022,10,2,20.22,18.02,0.15,36.04,-4.4,2022-10-01
135,Est,Consommateur,Furniture,Chairs,2023,10,8,153.95,180.7,0.15,1445.57,213.97,2023-10-01
136,Est,Consommateur,Technology,Phones,2022,8,8,30.86,39.8,0.0,318.36,71.48,2022-08-01
137,Centre,Corporate,Office Supplies,Binders,2023,8,2,264.61,296.69,0.2,593.37,64.15,2023-08-01
138,Sud,Corporate,Office Supplies,Storage,2024,4,8,252.98,278.35,0.2,2226.8,202.96,2024-04-01
139,Centre,Consommateur,Office Supplies,Storage,2024,5,9,161.37,193.0,0.1,1736.98,284.65,2024-05-01
140,Est,Consommateur,Furniture,Chairs,2024,8,1,201.11,241.65,0.1,241.65,40.54,2024-08-01
141,Est,Consommateur,Furniture,Chairs,2024,10,4,324.81,422.81,0.0,1691.22,391.98,2024-10-01
142,Centre,Consommateur,Furniture,Bookcases,2023,10,9,347.62,451.91,0.0,4067.16,938.58,2023-10-01
143,Nord,Corporate,Office Supplies,Paper,2022,9,6,156.3,201.83,0.05,1211.0,273.2,2022-09-01
144,Sud,Entreprise,Furniture,Bookcases,2025,7,8,186.13,219.39,0.1,1755.14,266.1,2025-07-01
145,Centre,Consommateur,Technology,Accessories,2024,1,6,360.34,449.28,0.05,2695.69,533.65,2024-01-01
146,Est,Corporate,Furniture,Bookcases,2024,1,4,48.25,59.59,0.0,238.35,45.35,2024-01-01
147,Est,Corporate,Furniture,Chairs,2024,12,1,255.32,282.5,0.2,282.5,27.18,2024-12-01
148,Nord,Corporate,Technology,Copiers,2024,2,4,128.82,152.6,0.15,610.4,95.12,2024-02-01
149,Sud,Corporate,Technology,Copiers,2024,10,4,80.65,95.12,0.0,380.47,57.87,2024-10-01
150,Sud,Consommateur,Technology,Phones,2023,12,7,54.22,56.44,0.15,395.09,15.55,2023-12-01
151,Est,Corporate,Technology,Accessories,2025,6,8,310.67,386.93,0.05,3095.44,610.08,2025-06-01
152,Nord,Consommateur,Office Supplies,Binders,2025,9,6,251.06,290.75,0.15,1744.47,238.11,2025-09-01
153,Est,Entreprise,Furniture,Bookcases,2022,5,7,246.87,262.13,0.2,1834.9,106.81,2022-05-01
154,Est,Entreprise,Furniture,Chairs,2024,9,7,390.36,461.79,0.1,3232.56,500.04,2024-09-01
155,Centre,Corporate,Technology,Phones,2022,5,3,299.37,398.62,0.0,1195.86,297.75,2022-05-01
156,Est,Consommateur,Technology,Accessories,2025,8,7,106.92,125.82,0.05,880.73,132.29,2025-08-01
157,Sud,Consommateur,Office Supplies,Paper,2025,12,5,139.51,165.24,0.15,826.21,128.66,2025-12-01
158,Est,Entreprise,Technology,Accessories,2023,7,6,449.36,520.94,0.15,3125.66,429.5,2023-07-01
159,Nord,Corporate,Technology,Copiers,2022,8,3,217.88,271.29,0.05,813.88,160.24,2022-08-01
160,Est,Consommateur,Technology,Phones,2022,7,8,31.1,33.77,0.05,270.17,21.37,2022-07-01
161,Est,Entreprise,Technology,Copiers,2024,7,4,140.78,189.12,0.0,756.46,193.34,2024-07-01
162,Est,Corporate,Furniture,Bookcases,2024,2,4,128.63,144.5,0.1,577.99,63.47,2024-02-01
163,Centre,Consommateur,Office Supplies,Paper,2024,11,7,193.33,215.11,0.2,1505.77,152.46,2024-11-01
164,Nord,Entreprise,Office Supplies,Binders,2025,10,6,287.86,314.69,0.2,1888.13,160.97,2025-10-01
165,Centre,Entreprise,Technology,Copiers,2022,12,3,103.64,123.47,0.1,370.42,59.5,2022-12-01
166,Est,Entreprise,Furniture,Bookcases,2023,9,8,374.89,435.05,0.15,3480.42,481.3,2023-09-01
167,Centre,Entreprise,Furniture,Chairs,2023,12,4,126.88,151.28,0.1,605.11,97.59,2023-12-01
168,Sud,Corporate,Furniture,Tables,2022,1,6,211.67,239.09,0.2,1434.55,164.53,2022-01-01
169,Centre,Corporate,Technology,Phones,2023,6,9,395.68,506.94,0.05,4562.43,1001.31,2023-06-01
170,Nord,Corporate,Furniture,Tables,2023,9,3,37.96,51.91,0.0,155.73,41.85,2023-09-01
171,Est,Consommateur,Furniture,Tables,2024,10,4,141.17,167.63,0.15,670.51,105.83,2024-10-01
172,Centre,Consommateur,Furniture,Chairs,2022,8,9,243.65,273.71,0.15,2463.37,270.52,2022-08-01
173,Nord,Entreprise,Furniture,Tables,2023,11,9,42.23,54.45,0.05,490.03,109.96,2023-11-01
174,Sud,Corporate,Technology,Copiers,2024,3,8,79.55,104.57,0.1,836.58,200.18,2024-03-01
175,Centre,Consommateur,Technology,Accessories,2025,1,2,329.87,360.81,0.2,721.63,61.89,2025-01-01
176,Est,Corporate,Furniture,Chairs,2024,11,7,333.21,426.37,0.0,2984.6,652.13,2024-11-01
177,Nord,Entreprise,Technology,Copiers,2022,10,6,262.32,301.69,0.15,1810.15,236.23,2022-10-01
178,Sud,Entreprise,Technology,Phones,2024,6,1,246.9,273.75,0.2,273.75,26.85,2024-06-01
179,Nord,Corporate,Technology,Phones,2024,1,3,127.08,138.16,0.2,414.47,33.23,2024-01-01
180,Est,Entreprise,Technology,Phones,2022,3,6,258.27,323.45,0.05,1940.72,391.1,2022-03-01
181,Centre,Consommateur,Technology,Accessories,2025,6,7,309.49,392.81,0.05,2749.7,583.27,2025-06-01
182,Est,Corporate,Furniture,Chairs,2022,5,4,29.94,44.72,0.05,178.89,59.13,2022-05-01
183,Centre,Consommateur,Furniture,Chairs,2024,10,7,499.16,645.97,0.0,4521.78,1027.66,2024-10-01
184,Est,Entreprise,Furniture,Chairs,2022,3,7,262.1,310.17,0.1,2171.21,336.51,2022-03-01
185,Nord,Consommateur,Technology,Phones,2023,9,1,414.16,480.73,0.15,480.73,66.57,2023-09-01
186,Nord,Entreprise,Office Supplies,Paper,2023,7,4,48.7,64.73,0.05,258.91,64.11,2023-07-01
187,Nord,Entreprise,Office Supplies,Binders,2024,11,7,161.58,179.32,0.15,1255.23,124.17,2024-11-01
188,Est,Entreprise,Technology,Accessories,2023,9,8,122.57,157.76,0.0,1262.11,281.55,2023-09-01
189,Nord,Entreprise,Furniture,Bookcases,2022,2,6,491.03,620.92,0.05,3725.5,779.32,2022-02-01
190,Sud,Consommateur,Office Supplies,Paper,2022,3,2,462.87,578.52,0.05,1157.05,231.31,2022-03-01
191,Sud,Entreprise,Office Supplies,Paper,2022,9,9,267.54,345.91,0.0,3113.17,705.31,2022-09-01
192,Nord,Consommateur,Technology,Phones,2023,7,6,460.56,565.97,0.05,3395.79,632.43,2023-07-01
193,Nord,Entreprise,Office Supplies,Binders,2024,9,4,32.45,43.15,0.05,172.62,42.82,2024-09-01
194,Sud,Corporate,Office Supplies,Binders,2022,11,1,333.93,383.84,0.15,383.84,49.91,2022-11-01
195,Nord,Corporate,Office Supplies,Storage,2022,12,2,483.47,523.4,0.2,1046.79,79.85,2022-12-01
196,Sud,Corporate,Technology,Phones,2024,7,2,247.3,287.59,0.1,575.18,80.58,2024-07-01
197,Est,Entreprise,Technology,Copiers,2024,9,9,284.07,351.0,0.05,3159.0,602.37,2024-09-01
198,Centre,Consommateur,Office Supplies,Binders,2024,9,8,463.45,591.32,0.0,4730.56,1022.96,2024-09-01
199,Nord,Entreprise,Furniture,Chairs,2022,5,8,215.49,238.52,0.2,1908.19,184.27,2022-05-01
200,Est,Consommateur,Furniture,Chairs,2024,11,5,433.12,472.04,0.2,2360.19,194.59,2024-11-01
201,Centre,Consommateur,Technology,Phones,2025,3,6,287.88,312.25,0.2,1873.52,146.24,2025-03-01
202,Est,Entreprise,Office Supplies,Paper,2023,12,9,230.24,288.76,0.05,2598.86,526.7,2023-12-01
203,Nord,Corporate,Office Supplies,Paper,2024,8,5,210.21,230.96,0.2,1154.8,103.75,2024-08-01
204,Sud,Corporate,Furniture,Chairs,2022,9,2,127.52,159.79,0.1,319.59,64.55,2022-09-01
205,Est,Consommateur,Technology,Accessories,2022,2,7,35.99,45.3,0.05,317.08,65.15,2022-02-01
206,Centre,Corporate,Furniture,Tables,2024,8,7,131.01,169.72,0.0,1188.02,270.95,2024-08-01
207,Centre,Entreprise,Office Supplies,Paper,2024,9,5,478.52,598.69,0.05,2993.45,600.85,2024-09-01
208,Sud,Corporate,Furniture,Tables,2023,2,5,147.44,183.24,0.05,916.19,178.99,2023-02-01
209,Sud,Consommateur,Office Supplies,Binders,2025,2,9,258.12,309.49,0.1,2785.38,462.3,2025-02-01
210,Sud,Consommateur,Technology,Accessories,2022,9,2,108.99,130.85,0.1,261.71,43.73,2022-09-01
211,Sud,Corporate,Office Supplies,Binders,2024,10,6,274.47,307.19,0.2,1843.11,196.29,2024-10-01
212,Sud,Consommateur,Furniture,Tables,2022,6,6,97.43,113.01,0.2,678.06,93.48,2022-06-01
213,Nord,Consommateur,Office Supplies,Storage,2022,12,7,53.35,70.65,0.15,494.53,121.08,2022-12-01
214,Nord,Consommateur,Furniture,Chairs,2025,9,2,215.76,243.31,0.15,486.63,55.11,2025-09-01
215,Centre,Entreprise,Furniture,Chairs,2023,4,7,253.63,288.55,0.15,2019.85,244.44,2023-04-01
216,Est,Corporate,Office Supplies,Binders,2023,8,3,439.06,502.57,0.15,1507.7,190.52,2023-08-01
217,Nord,Entreprise,Office Supplies,Paper,2025,8,9,322.38,392.59,0.1,3533.28,631.86,2025-08-01
218,Sud,Corporate,Furniture,Chairs,2024,4,2,354.68,405.28,0.15,810.56,101.2,2024-04-01
219,Nord,Corporate,Office Supplies,Binders,2024,4,7,222.63,267.72,0.1,1874.05,315.64,2024-04-01
220,Est,Entreprise,Technology,Accessories,2025,11,2,443.86,558.29,0.05,1116.58,228.86,2025-11-01
221,Nord,Entreprise,Furniture,Bookcases,2022,4,8,29.22,31.83,0.0,254.61,20.85,2022-04-01
222,Nord,Consommateur,Technology,Accessories,2023,9,6,317.34,404.11,0.05,2424.68,520.64,2023-09-01
223,Centre,Consommateur,Technology,Accessories,2025,6,8,376.38,469.57,0.05,3756.58,745.54,2025-06-01
224,Nord,Consommateur,Furniture,Chairs,2025,9,6,113.13,132.54,0.1,795.21,116.43,2025-09-01
225,Est,Corporate,Furniture,Tables,2022,2,7,88.44,100.1,0.2,700.68,81.6,2022-02-01
226,Nord,Consommateur,Office Supplies,Paper,2024,2,2,176.43,218.16,0.1,436.33,83.47,2024-02-01
227,Est,Entreprise,Office Supplies,Binders,2025,9,4,293.55,363.43,0.05,1453.72,279.52,2025-09-01
228,Centre,Corporate,Furniture,Bookcases,2023,9,5,22.32,18.77,0.0,93.85,-17.75,2023-09-01
229,Est,Corporate,Furniture,Tables,2022,12,3,156.58,190.67,0.1,572.01,102.27,2022-12-01
230,Sud,Corporate,Technology,Accessories,2024,9,3,126.31,149.63,0.15,448.9,69.97,2024-09-01
231,Sud,Entreprise,Office Supplies,Binders,2022,12,4,39.86,35.38,0.2,141.53,-17.91,2022-12-01
232,Est,Consommateur,Furniture,Chairs,2023,9,1,444.0,508.78,0.15,508.78,64.78,2023-09-01
233,Est,Entreprise,Technology,Accessories,2025,10,1,27.31,24.73,0.2,24.73,-2.58,2025-10-01
234,Centre,Entreprise,Technology,Copiers,2025,2,7,113.45,136.9,0.1,958.31,164.16,2025-02-01
235,Est,Corporate,Technology,Copiers,2025,8,2,310.81,389.55,0.05,779.09,157.47,2025-08-01
236,Nord,Entreprise,Technology,Phones,2025,3,6,226.49,254.91,0.15,1529.48,170.54,2025-03-01
237,Nord,Corporate,Technology,Accessories,2023,9,9,437.78,520.1,0.1,4680.88,740.86,2023-09-01
238,Sud,Consommateur,Technology,Accessories,2022,6,1,148.15,183.27,0.1,183.27,35.12,2022-06-01
239,Centre,Corporate,Technology,Phones,2025,9,7,462.76,583.31,0.05,4083.14,843.82,2025-09-01
240,Centre,Corporate,Furniture,Chairs,2023,3,6,233.87,263.89,0.15,1583.33,180.11,2023-03-01
241,Centre,Entreprise,Office Supplies,Storage,2025,11,3,492.48,586.74,0.1,1760.22,282.78,2025-11-01
242,Sud,Consommateur,Office Supplies,Storage,2023,1,1,438.96,478.55,0.2,478.55,39.59,2023-01-01
243,Centre,Entreprise,Technology,Phones,2024,12,9,280.6,347.55,0.05,3127.92,602.52,2024-12-01
244,Sud,Consommateur,Office Supplies,Paper,2024,10,3,199.57,234.74,0.1,704.23,105.52,2024-10-01
245,Centre,Corporate,Furniture,Tables,2024,7,8,478.34,614.46,0.0,4915.67,1088.95,2024-07-01
246,Est,Consommateur,Technology,Phones,2024,1,8,135.46,181.67,0.0,1453.36,369.68,2024-01-01
247,Sud,Corporate,Office Supplies,Storage,2022,2,4,301.4,363.07,0.1,1452.28,246.68,2022-02-01
248,Nord,Corporate,Technology,Copiers,2024,8,7,362.41,476.41,0.0,3334.87,798.0,2024-08-01
